Tournament,Date_First,Date_Last,N_Teams_EUF,N_Teams_All,N_Games
Mixed Imperial,2023-03-25,2023-03-26,17,17,54
Spring Invite Padova,2023-04-21,2023-04-21,1,8,24
Spring Invite Wroclaw,2023-04-21,2023-04-21,0,10,32
G-Spot,2023-05-21,2023-05-21,1,22,91
DFV-Pokal Mixed,2023-05-29,2023-05-29,0,10,29
Elite Invite,2023-05-29,2023-05-29,2,8,24
EUCR Istanbul,2023-06-11,2023-06-11,0,7,18
Windmill,2023-06-16,2023-06-18,3,40,160
Grey Towers,2023-06-17,2023-06-18,9,9,26
Mooxed,2023-06-17,2023-06-18,19,19,54
TOWWAPM,2023-07-15,2023-07-16,30,30,85
Regionals North,2023-07-29,2023-07-30,8,8,20
Regionals South,2023-07-29,2023-07-30,10,10,33
EUCR Brno,2023-08-27,2023-08-27,0,9,23
EUCR Malmo,2023-08-27,2023-08-27,0,8,24
EUCR Strasbourg,2023-08-27,2023-08-27,0,8,23
Nationals,2023-08-27,2023-08-28,12,12,30
